Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2007-07-24,-27076.04846292374,,,,,,
2007-07-25,-14317.482868524217,,,,,,
2007-07-26,-35107.43184635283,,,,,,
2007-07-27,-25468.9557202858,,,,,,
2007-07-30,-1701.4866364987506,,,,,,
2007-07-31,-6276.87404904343,,,,,,
2007-08-01,-9275.346154143248,,,,,,
2007-08-02,16404.514115594797,,,,,,
2007-08-03,12552.12687380545,,,,,,
2007-08-06,-7977.034635623846,,,,,,
2007-08-07,-6691.068806740393,,,,,,
2007-08-08,-24551.585973029716,,,,,,
2007-08-09,-80289.98990689962,,,,,,
2007-08-10,-83887.27965799432,,,,,,
2007-08-13,-33745.62611043559,,,,,,
2007-08-14,-31911.108105015315,,,,,,
2007-08-16,-7707.615186312955,,,,,,
2007-08-17,48693.47977114408,,,,,,
2007-08-20,57352.32948191835,,,,,,
2007-08-21,28111.623438182996,,,,,,
2007-08-22,22779.43055292859,,,,,,
2007-08-23,16181.77002555198,,,,,,
2007-08-24,10356.640331207018,,,,,,
2007-08-27,19451.74017665637,,,,,,
2007-08-28,19675.74452669453,,,,,,
2007-08-29,17497.222227051316,,,,,,
2007-08-30,18747.146627920392,,,,,,
2007-08-31,11691.510370301989,,,,,,
2007-09-04,-9766.778223627407,,,,,,
2007-09-05,-5732.538314399978,,,,,,
2007-09-06,-10790.778665961443,,,,,,
2007-09-07,-7031.018577541951,,,,,,
2007-09-10,3879.616545647915,,,,,,
2007-09-11,14710.662143285588,,,,,,
2007-09-12,7628.590198172876,,,,,,
2007-09-13,28108.92079980982,,,,,,
2007-09-14,15080.6923849454,,,,,,
2007-09-17,12433.439550779513,,,,,,
2007-09-18,19594.221292467402,,,,,,
2007-09-19,20353.36802352731,,,,,,
2007-09-20,16562.870161992614,,,,,,
2007-09-21,30297.730348774363,,,,,,
2007-09-27,24191.901437143322,,,,,,
2007-09-28,16319.567158836015,,,,,,
2007-10-01,19163.712116194372,,,,,,
2007-10-02,11086.939319798103,,,,,,
2007-10-04,6732.783076370366,,,,,,
2007-10-05,7629.067832743571,,,,,,
2007-10-08,1898.8935168760988,,,,,,
2007-10-09,274.55319158582995,,,,,,
2007-10-10,-11219.880750799233,,,,,,
2007-10-11,-20779.91937493671,,,,,,
2007-10-12,-14155.03542990948,,,,,,
2007-10-15,-17700.158595430894,,,,,,
2007-10-16,-33047.40182999674,,,,,,
2007-10-17,-7508.140632790709,,,,,,
2007-10-18,-6285.5581516693055,,,,,,
2007-10-19,-4630.994983882577,,,,,,
2007-10-22,16691.553389100518,,,,,,
